职位,城市,区域,街道,公司,薪资,经验,学历,领域,融资,规模,技能要求,基本福利
python,广州,黄埔区,科学城,罗斯软件,5-9K,1-3年,本科,生活服务(O2O),未融资,100-499人,,"加班补助,底薪加提成,绩效奖金,节日福利,五险一金,带薪年假,生日福利,零食下午茶,保底工资,团建聚餐,员工旅游,节假日加班费"
Python(QT)工程师,深圳,龙华区,龙华,由你创科技,15-22K,10年以上,大专,计算机软件,未融资,20-99人,Python,"带薪年假,员工旅游,团建聚餐,零食下午茶,五险一金,全勤奖,年终奖,节日福利"
Python,广州,天河区,棠下,铭策,8-10K,经验不限,学历不限,广告/公关/会展,未融资,0-20人,"Python,Golang,Docker,Kubernetes,Elasticsearch,Kafka,PostgreSQL,Linux开发/部署经验,爬虫经验","五险一金,年终奖,项目奖金"
全栈工程师（python）,广州,黄埔区,大沙,凯迪,12-18K,3-5年,本科,原材料及加工/模具,不需要融资,1000-9999人,,"住房补贴,节日福利,补充医疗保险,带薪年假,餐补,股票期权,员工旅游,免费班车,五险一金,定期体检"
python后端开发工程师,广州,南沙区,黄阁,秦昱,8-13K,1-3年,本科,互联网,未融资,20-99人,"Python,Django,Flask,MySQL,Linux开发/部署经验,微服务经验,Cursor,AI编程工具,小程序开发,redis,招聘平台","带薪年假,绩效奖金,五险一金"
python开发,广州,天河区,石牌,广州兴荣投资合伙...,4-6K,经验不限,大专,投资/融资,,20-99人,Python,
Python技术专家,广州,,,某大型计算机软件上市公司,28-35K·14薪,5-10年,本科,计算机软件,已上市,1000-9999人,,"加班补助,年终奖,交通补助,五险一金,补充医疗保险,零食下午茶,定期体检,带薪年假"
python后台开发工程师,广州,黄埔区,万达广场,广州奇之信息技术,6-10K,1-3年,本科,计算机服务,天使轮,20-99人,"Scrapy,爬虫经验,Elasticsearch,Django,MySQL,机器学习经验,Redis,Linux开发/部署经验,Python","保底工资,社保,底薪加提成,餐补"
python开发工程师（base佛山）,广州,番禺区,大石,美云智数,10-14K,5-10年,大专,互联网,不需要融资,1000-9999人,"MySQL,Redis,Oracle,Python,Flask","交通补助,零食下午茶,餐补,年终奖,补充医疗保险,五险一金,带薪年假,节日福利,员工旅游,免费班车,定期体检"
Python脚本工程师,广州,海珠区,凤阳,宅易云科技有限公司,7-10K·13薪,1-3年,大专,计算机软件,未融资,0-20人,"Golang,Scrapy,机器学习经验,Redis,爬虫经验,PyTorch,MySQL,脚本编写,Selenium,Linux开发/部署经验,脚本开发,自动化脚本,Python,TensorFlow","交通补助,员工旅游,团建聚餐,节日福利,零食下午茶,餐补,生日福利,带薪年假,全勤奖,底薪加提成,绩效奖金,年终奖,五险一金"
python技术合伙人,广州,黄埔区,镇龙,复兴兄弟,20-25K,5-10年,本科,新闻/出版,未融资,20-99人,"Docker,Django,MySQL,架构设计经验,Python,Flask","带薪年假,全勤奖,定期体检,股票期权,员工旅游,年终奖,节日福利,五险"
Python游戏开发实习生,广州,天河区,车陂,比特萝卜,150-190元/天,,本科,游戏,不需要融资,20-99人,"Python,算法基础,性能优化,数据结构,游戏开发","住房补贴,包吃,零食下午茶,交通补助,员工旅游,保底工资,绩效奖金,五险一金,带薪年假,团建聚餐,节日福利,年终奖"
python开发,广州,黄埔区,中心城,易宝软件,15-25K,3-5年,本科,互联网,未融资,1000-9999人,"Python,Flask,Django,Docker,MySQL,PostgreSQL,Redis,MongoDB,微服务经验,架构设计经验,Linux开发/部署经验,k8s,数据结构","零食下午茶,加班补助,企业年金,节假日加班费,年终奖,节日福利,法定节假日三薪,通讯补贴,双休,五险一金,绩效奖金,夜班补助,定期体检,补充医疗保险,带薪年假,六险一金,工龄奖"
Python开发工程师,广州,海珠区,新港西路沿线,城北,15-28K,1-3年,大专,互联网,未融资,100-499人,"Python,HTML5","员工旅游,加班补助,节日福利,五险一金,餐补,全勤奖,零食下午茶"
python开发工程师,广州,南沙区,横沥,小马智行,15-23K·16薪,1-3年,本科,互联网,已上市,1000-9999人,Python,"餐补,节日福利,生日福利,法定节假日三薪,零食下午茶,定期体检,带薪年假,团建聚餐,员工旅游,绩效奖金,五险一金,年终奖,节假日加班费,补充医疗保险,股票期权"
python开发（RPA维护）工程师,广州,黄埔区,科学城,省事熊,15-20K,1-3年,本科,计算机软件,未融资,20-99人,运维开发,"五险一金,全勤奖,定期体检,股票期权,交通补助,节日福利,员工旅游,带薪年假,住房补贴,通讯补贴,加班补助,零食下午茶,补充医疗保险,餐补,年终奖"
Python 开发工程师（运维系统 ）,南京,鼓楼区,山西路,拓保软件,13-18K,5-10年,大专,计算机软件,不需要融资,1000-9999人,"Python,Django,Flask,MySQL,运维开发经验","意外险,有无线网,员工旅游,五险一金,补充医疗保险,绩效奖金,节日福利,体检,生日福利,保底工资,带薪年假,定期体检,加班补助,零食下午茶,全勤奖,餐补,底薪加提成,团建旅游"
Python程序员,广州,,,中粤电力,6-12K,1-3年,本科,电力/热力/燃气/水利,未融资,20-99人,"Python,sanic,MariaDB(MySQ",
Python,广州,天河区,员村,广东抱谷科技有限公司,10-14K,3-5年,本科,运营商/增值服务,未融资,20-99人,"Python,Nginx,MongoDB,机器学习经验,运维开发经验","节日福利,餐补,零食下午茶,员工旅游,补充医疗保险,团建聚餐,带薪年假,年终奖,有无线网,五险一金"
python后端开发,广州,海珠区,琶洲,广州繁之花科技,6-8K,经验不限,本科,计算机软件,未融资,20-99人,,五险一金
Python 工程师 -金融/银行背景优先,广州,,,某知名银行公司,20-35K,3-5年,本科,银行,,1000-9999人,"Python,Java,C,Docker,Django,Numpy,Pandas,MySQL,云计算经验,分布式经验,微服务经验,量化交易开发经验,机器学习经验",
python开发工程师,广州,南沙区,新垦镇,上海翼锐汽车科技,15-24K,3-5年,学历不限,汽车研发/制造,未融资,500-999人,"Python,gerrit,gitlab","定期体检,带薪年假,餐补,加班补助,交通补助,五险一金,年终奖,生日福利,节日福利"
Python,广州,天河区,黄村,优浪网络,8-15K,3-5年,大专,互联网,,0-20人,"Linux,数据库,Python",
python后端开发工程师,广州,天河区,石牌,工融互联,12-22K,3-5年,本科,互联网金融,,100-499人,,"五险一金,零食下午茶,年终奖,带薪年假"
对日AI应用开发工程师(Python),大连,甘井子区,七贤岭,无锡人才之家,8-13K·13薪,3-5年,大专,人力资源服务,未融资,100-499人,"PyTorch,PostgreSQL,MySQL,AI应用开发,Python","节日福利,年终奖,五险一金"
