职位,城市,区域,街道,公司,薪资,经验,学历,领域,融资,规模,技能要求,基本福利
Python GUI工程师（实习）,广州,南沙区,黄阁,鹰猎者科技,80-110元/天,,大专,信息安全,不需要融资,0-20人,"MySQL,Python","意外险,节假日加班费,每年免费体检,绩效奖金,带薪年假,补充医疗保险,五险一金,工作电脑,法定节假日三薪,员工旅游,年终奖,零食下午茶"
【OD】ai软件开发 - Python,上海,青浦区,金泽,华为科技有限公司,15-30K·14薪,经验不限,本科,通信/网络设备,不需要融资,10000人以上,"Golang,Java,C++,C,分布式经验,机器学习经验,深度学习,AI,Numpy,PyTorch,Docker,Python,Kubernetes,TensorFlow","节日福利,企业年金,加班补助,意外险,补充医疗保险,免费班车,高温补贴,绩效奖金,年终奖,法定节假日三薪,员工旅游,夜班补助,生日福利,节假日加班费,零食下午茶,股票期权,带薪年假,五险一金,定期体检,团建聚餐"
【OD】ai软件开发 - Python,上海,青浦区,金泽,华为,15-30K·14薪,经验不限,本科,计算机软件,不需要融资,10000人以上,"Golang,多模态,C++,C,PyTorch,深度学习,RAG,后端开发,Python,Kubernetes","企业年金,保底工资,补充医疗保险,带薪年假,年终奖,夜班补助,节假日加班费,意外险,股票期权,零食下午茶,加班补助,定期体检,绩效奖金,法定节假日三薪,团建聚餐,员工旅游,免费班车,节日福利,交通补助,五险一金"
Python 研发日常实习生-AI  (MJ043493),北京,昌平区,回龙观,好未来,200-240元/天,,本科,互联网,已上市,10000人以上,,"健身房,不定期培训,节日福利,带薪年假,团建聚餐,餐补,定期体检,补充医疗保险,年终奖,五险一金"
Python MATLAB 高级工程师,大连,甘井子区,辛寨子,大连银凌旭辉物流,70-260元/天,3-5年,本科,其他生活服务,,20-99人,"爬虫经验,远程办公,时间自由,其他,Python",缴纳五险
Python AI工程师助理（应届生）,成都,武侯区,中和,探真科技,10-12K,在校/应届,本科,信息安全,A轮,20-99人,"Python,PyTorch,TensorFlow,MySQL,Redis,机器学习经验,团队协作,接受出差","股票期权,年终奖,定期体检,五险一金"
"AI 高级工程师（LLM, AIGC, Python ）",上海,静安区,静安寺,汉器,20-40K,5-10年,本科,企业服务,天使轮,20-99人,"Python,Spark,AIGC,LLM",
python Web 开发工程师,深圳,南山区,科技园,乘游科技,12-23K·13薪,3-5年,本科,游戏,A轮,20-99人,Python,"团建聚餐,年终奖,餐补,全勤奖,员工旅游,带薪年假,节假日加班费,底薪加提成,零食下午茶,绩效奖金,五险一金"
Python AI 大模型开发,济南,历城区,济钢,山东麦德森,20-30K,5-10年,本科,文化艺术/娱乐,未融资,500-999人,"爬虫经验,PostgreSQL,MySQL,机器学习经验,Redis,Python","六险一金,加班补助,全勤奖,五险一金,员工旅游,年终奖,定期体检,补充医疗保险,带薪年假,交通补助,免费午餐"
Python & LLM 数据分析与开发工程师,南宁,青秀区,民族大道,广西邕之泰,7-11K,3-5年,本科,农/林/牧/渔,不需要融资,1000-9999人,"架构设计经验,Python","免费班车,意外险,社保五险,节日福利,团建聚餐,宿舍有空调,包住,有无线网,包吃,免费工装"
Python 开发,成都,双流区,华阳,四川紫气东来科技,11-22K,经验不限,学历不限,计算机软件,不需要融资,20-99人,"PyTorch,Docker,机器学习经验,MySQL,MongoDB","年终奖,五险一金,绩效奖金"
Python SRE 初级工程师,成都,武侯区,桂溪,成都三秋科技,4-8K,经验不限,高中,互联网,,100-499人,"Docker,Django,Redis,Python,Flask",
Python AI 应用开发工程师,上海,闵行区,莘庄,聊聊科技,15-25K,1-3年,本科,互联网,不需要融资,0-20人,"Python,Kubernetes,Elasticsearch,Kafka,Docker,Django,MySQL,Redis,MongoDB,PostgreSQL,Linux开发/部署经验,分布式经验,微服务经验,机器学习经验,接受实习/在校生投递,Agent","带薪年假,节日福利,五险一金,员工旅游,餐补,定期体检,年终奖"
Python 工程师,北京,海淀区,中关村,北京深度机智科技,20-40K,1-3年,本科,人工智能,,20-99人,"Pandas,MySQL,机器学习经验,接受无前端经验/技能,Numpy,Python","带薪年假,底薪加提成,员工旅游,生日福利,包住,宿舍有空调,股票期权,年终奖,五险一金,零食下午茶,团建聚餐,有无线网,绩效奖金,节日福利,住房补贴,保底工资"
python(AI),北京,海淀区,上地,中科软,18-21K,3-5年,本科,计算机软件,已上市,10000人以上,"Python,Java,Django,Flask,PyTorch,TensorFlow,PostgreSQL,Spark,团队管理经验","带薪年假,定期体检,加班补助,节日福利,团队氛围好,五险一金,年终奖,零食下午茶,餐补,员工旅游"
Python RPA开发工程师(宁德外包）,宁德,蕉城区,漳湾工业园区,人瑞网络科技,15-16K,1-3年,本科,计算机硬件,,10000人以上,"Python,C#,Docker,Django,Hadoop,RPA","节日福利,有无线网,零食下午茶,带薪年假,五险一金"
python实习生,广州,黄埔区,科学城,广州吉飞,120-150元/天,,大专,计算机软件,,20-99人,"Python,Java,TensorFlow,MySQL,爬虫",
Python/AI工程师,阜阳,颍州区,宝龙广场,佳洪药业,4-8K,1年以内,大专,医疗健康,已上市,20-99人,"Python,dify","带薪年假,全勤奖,通讯补贴,员工旅游,包吃"
Python（居家办公或者兼职）,广州,白云区,嘉禾,战歌科技,14-28K,经验不限,大专,互联网,,0-20人,"Java,C++,团队管理经验,Django,MySQL,Redis,Tornado,架构设计经验,Oracle,Linux开发/部署经验,Python,Flask",
Python,泉州,,,平头哥众创,8-13K,1-3年,本科,电子商务,未融资,100-499人,,"意外险,节日福利,团建聚餐,底薪加提成,带薪年假,生日福利,保底工资,零食下午茶,法定节假日三薪,全勤奖"
python高级智能体开发工程师,广州,白云区,均禾,科丽雅化妆品有限公司,7-8K,1-3年,本科,日化,不需要融资,20-99人,,"年终奖,零食下午茶,底薪加提成"
python高级智能体开发工程师,广州,白云区,嘉禾,遇渼文化传媒,7-8K,1-3年,本科,批发/零售,不需要融资,20-99人,,"节日福利,零食下午茶,包吃"
Python AI,常州,钟楼区,白云,今点软件,8-12K·13薪,1-3年,本科,计算机软件,未融资,100-499人,"Pandas,Numpy,Python","零食下午茶,定期体检,生日福利,带薪年假,年终奖,交通补助,节日福利,员工旅游,法定节假日三薪,五险一金,团建聚餐,加班补助,年度体检"
周末双休AI代码训练师-Java/python/C/C++,成都,金牛区,天回,澳鹏科技,7-8K,经验不限,本科,大数据,不需要融资,1000-9999人,"Python,C,C++,MySQL,数据标注,周末双休,六险一金","带薪年假,补充医疗保险,员工旅游,年终奖,零食下午茶,股票期权,五险一金"
Python/AI自动化开发,泰安,泰山区,长途汽车站,凡盟创投,5-7K,1-3年,本科,电子商务,不需要融资,100-499人,"Python,Java,C++,C,云计算经验,爬虫经验,Java开发,AI自动化","有无线网,零食下午茶,保底工资,员工旅游,带薪年假,补充医疗保险,年终奖,团建聚餐,节假日加班费,法定节假日三薪"
python实习生,广州,黄埔区,科学城,Muse/星檬,180-200元/天,,本科,互联网,未融资,20-99人,"Docker,MySQL,机器学习经验,云计算经验,Python","生日福利,五险一金,绩效奖金,带薪年假,零食下午茶,员工旅游,全勤奖,工龄奖,定期体检,补充医疗保险,节日福利,年终奖,意外险,团建聚餐"
Python后端开发工程师（AI赋能、10倍成长）,广州,天河区,元岗,比特鹰,10-15K·13薪,经验不限,学历不限,人工智能,不需要融资,20-99人,"Golang,分布式经验,PostgreSQL,Kafka,Redis,Docker,微服务经验,Django,MySQL,架构设计经验,Linux开发/部署经验,Python,Flask,Kubernetes","年终奖,团建聚餐,生日福利,保底工资,免费班车,节日福利,零食下午茶,带薪年假,定期体检,餐补,员工旅游,免费工装,股票期权,住房补贴,五险一金,有无线网"
Java（C/C++/C#/python/PHP/Go/JS/Ob-C）,武汉,,,某大型人力资源服务公司,20-40K·13薪,经验不限,本科,人力资源服务,,1000-9999人,,"五险一金,定期体检,带薪年假,员工旅游,节日福利"
Python C++教学,抚州,东乡区,恒安东路,吉码,4-8K,经验不限,学历不限,培训/辅导机构,,0-20人,"C++,Python",
C/C++/JAVA/Python/web大数据/算法/测试,成都,郫都区,红光镇,外企德科数字,18-35K·14薪,经验不限,本科,互联网,不需要融资,10000人以上,,"交通补助,节日福利,定期体检,团建聚餐,保底工资,节假日加班费,带薪年假,法定节假日三薪,餐补,年终奖,底薪加提成,绩效奖金,通讯补贴,加班补助,五险一金,生日福利"
中级python开发工程师,广州,增城区,新塘广场,广州望罡贸易有限公司,6-11K,1-3年,大专,互联网,不需要融资,0-20人,"Python,Golang,Java,C++,Docker,Nginx,Selenium,PyTorch,TensorFlow,Oracle,MongoDB,HBase,PostgreSQL,Hadoop,爬虫经验,运维开发经验,机器学习经验,云计算经验,量化交易开发经验","全勤奖,加班补助,餐补,年终奖,五险一金"
软件开发工程师(Java/Python/C/C++/JS),苏州,,,某大型计算机软件公司,18-25K·14薪,经验不限,本科,计算机软件,不需要融资,10000人以上,,"节日福利,零食下午茶,免费班车,生日福利,团建聚餐,定期体检,离职补偿,带薪年假,法定节假日三薪,交通补助,五险一金,夜班补助,股票期权,保底工资,节假日加班费,年终奖,加班补助,补充医疗保险,员工旅游,绩效奖金"
Python,广州,,,Flat Incubator,15-16K,1-3年,本科,互联网,不需要融资,500-999人,"Python,Django,Flask,Numpy,Pandas,Docker,MySQL,Redis","零食下午茶,五险一金,餐补,补充医疗保险,带薪年假,年终奖,交通补助,公积金,生日福利,员工旅游,股票期权,家属关怀,定期体检,团建聚餐,节日福利"
python,广州,白云区,金沙洲,华为,15-30K,经验不限,本科,计算机软件,不需要融资,10000人以上,"Python,Django,MySQL","零食下午茶,股票期权,免费班车,交通补助,带薪年假,年终奖,团建聚餐,加班补助,五险一金,定期体检,节日福利,企业年金,法定节假日三薪,保底工资,夜班补助,员工旅游,意外险,补充医疗保险,绩效奖金,节假日加班费"
python全栈工程师,广州,增城区,增江,广州智定意科技,5-6K,经验不限,学历不限,计算机软件,未融资,0-20人,"文本标注,ai开发引擎编辑器,语音标注,提示词,数据分析能力强,标注数据分析,vue,标注方法优化,接受居家办公,接受加班,图片标注,分类标注","交通补助,生日福利,节日福利,绩效奖金,定期体检,年终奖,加班补助,意外险,补充医疗保险,带薪年假,企业年金,股票期权,夜班补助,全勤奖,法定节假日三薪,工龄奖,五险一金,节假日加班费,底薪加提成,保底工资"
Python（RPA),嘉兴,桐乡市,桐乡市屠甸路,浙江酷趣智能科技,5-6K,经验不限,本科,电子商务,不需要融资,100-499人,"运维开发经验,Python","五险,有无线网,茶水间,母婴室,全勤奖,零食下午茶,节日福利,年终奖,加班补助,员工旅游,绩效奖金,餐补,带薪年假,团建聚餐,工龄奖"
python,广州,白云区,太和,广州润梦科技有限公司,6-10K,在校/应届,大专,电子商务,,0-20人,"Python,Java,爬虫经验,运维开发经验,机器学习经验,会飞书多维表格",
python&c++教师,广州,白云区,三元里,编程猫,8-12K,1-3年,大专,互联网,D轮及以上,1000-9999人,,"五险一金,带薪年假"
Python（周期预计到今年9月）,合肥,肥西县,高新区,雀翼科技,8-9K,1-3年,大专,计算机软件,不需要融资,100-499人,,"五险一金,加班补助,节日福利,零食下午茶,带薪年假,餐补"
python（全薪+双休+六险一金）,广州,番禺区,石楼,上海思芮,10-15K,3-5年,大专,计算机软件,不需要融资,1000-9999人,"Docker,Pandas,MySQL,Numpy,Python","补充医疗保险,五险一金"
Python开发实习生,广州,,,觅言智能,150-200元/天,,本科,互联网,不需要融资,0-20人,"Python,Flask,MySQL",
全国均有岗（java/python/c/c++/go/软测）,广州,天河区,棠下,华为技术有限公司,14-28K·14薪,1-3年,本科,计算机软件,不需要融资,10000人以上,"Golang,Java,C++,SpringCloud,MySQL,开发,带薪年假,Spring,扁平管理,零食下午茶,Python","年终奖,保底工资,加班补助,免费班车,节日福利,节假日加班费,零食下午茶,补充医疗保险,法定节假日三薪,股票期权,带薪年假,团建聚餐,五险一金,生日福利,绩效奖金,交通补助,定期体检,夜班补助,员工旅游,离职补偿"
python实习生,广州,天河区,车陂,讯南科技,120-180元/天,,本科,计算机软件,不需要融资,20-99人,,"五险一金,年终奖"
全栈开发工程师（Python方向）双休,广州,天河区,棠下,广州致鑫信息技术,8-12K,1-3年,大专,互联网,未融资,100-499人,"Python,Flask,Docker,Nginx,Numpy,MySQL,Claude/GPT/Cursor,FFmpeg,PySide6/PyQt6,桌面开发框架","节日福利,全勤奖,员工旅游,零食下午茶,带薪年假,团建聚餐,法定节假日三薪,节假日加班费,底薪加提成,绩效奖金"
python助教,菏泽,单县,银座商城,单县乐博编程玩具...,4-9K,1-3年,本科,培训/辅导机构,,20-99人,"C++,Python,图形开发经验,机器人编程","绩效奖金,有无线网,底薪加提成,全勤奖"
python实习生,广州,黄埔区,鱼珠,致点信息科技,150-180元/天,,本科,互联网,不需要融资,20-99人,"Nginx,Docker,Elasticsearch,Django,MySQL,Redis,Fastapi,Linux开发/部署经验,Python,Flask","生日福利,带薪年假,绩效奖金,团建聚餐,员工旅游,零食下午茶,五险一金,节日福利,年终奖"
精通AutoHotkey、Python、C++至少一种语言,无锡,梁溪区,通江,江苏惠码科技有限公司,10-15K,经验不限,大专,互联网,,0-20人,"C++,Python,Linux开发/部署经验,图形开发经验,数据库开发经验,桌面开发经验,编译器开发经验",
Python（AI Engineer）,广州,海珠区,琶洲,信必优Symbio,14-18K,1-3年,本科,互联网,不需要融资,1000-9999人,"Python,Django,Flask,Docker,Kubernetes,MySQL,Redis,MongoDB,Linux开发/部署经验,机器学习经验,LLM/CICD,Dify/LangChain/RAG,AI大模型/FastAPI,外企/英语流利/海外","带薪年假,团建聚餐,零食下午茶,节日福利,五险一金,定期体检"
python（双休）,广州,番禺区,石楼,建广数科,12-13K,5-10年,大专,计算机软件,未融资,1000-9999人,"Docker,PostgreSQL,Python","零食下午茶,节日福利,团建聚餐,带薪年假,定期体检,五险一金,年终奖"
C++/Python 开发工程师,贵阳,南明区,花果园,飞秒科技,4-8K·13薪,1-3年,本科,互联网金融,不需要融资,0-20人,"Python,C/C++","带薪年假,年终奖,节日福利,全勤奖,股票期权"
Python,洛阳,洛龙区,关林,洛阳市快拼科技,5-8K,3-5年,本科,计算机软件,,0-20人,"C#,Java,C++,Boost,JavaScript,STL,Python",
python开发工程师,广州,天河区,冼村,印象,10-15K,3-5年,学历不限,人工智能,未融资,20-99人,"C#,C,MySQL,机器学习经验,Redis,云计算经验,HTML,Linux开发/部署经验,Numpy,Python,TensorFlow","节日福利,零食下午茶,社保"
python后端开发工程师,广州,天河区,东圃,八维擎天,10-11K,3-5年,大专,广告营销,不需要融资,20-99人,"Python,Java,C++,PHP,C#,Django,Flask,Pandas,Docker,MySQL,PostgreSQL,Redis,Spark,架构设计经验,分布式经验,微服务经验,爬虫经验,量化交易开发经验,pandas,后端技术,numpy","通讯补贴,定期体检,零食下午茶,加班补助,年终奖,五险一金,带薪年假,全勤奖,员工旅游,节日福利,补充医疗保险"
软件开发工程师（Python语言）,广州,海珠区,琶洲,文远知行,18-35K·15薪,在校/应届,本科,人工智能,已上市,1000-9999人,,"零食下午茶,员工旅游,补充医疗保险,定期体检,带薪年假,包吃,年终奖,通讯补贴,免费班车,节日福利,股票期权,五险一金"
Python实习生,广州,天河区,棠下,中望软件,180-220元/天,,本科,计算机软件,已上市,1000-9999人,"机器学习经验,其他,Python","带薪年假,股票期权,定期体检,包吃,节日福利,零食下午茶,生日福利,年终奖,五险一金,餐补"
Python(AI方向)开发工程师,厦门,集美区,杏林,厦门微塔人工智能,8-13K,1-3年,本科,人工智能,,20-99人,,
python开发,广州,荔湾区,桥中,广州市冠品电子科技,5-10K,在校/应届,大专,批发/零售,不需要融资,0-20人,,"工龄奖,加班补助,年终奖"
c++编程老师、python编程老师,昆明,,,百树教育,6-7K,1-3年,本科,培训/辅导机构,,100-499人,"C++,Python",
Python,广州,白云区,嘉禾,优美,5-6K,经验不限,本科,电子商务,不需要融资,100-499人,"Java,C++,运维开发经验,Python","有无线网,节日福利,节假日加班费,团建聚餐,保底工资,带薪年假,生日福利,加班补助,股票期权,零食下午茶,底薪加提成,绩效奖金"
python爬虫开发工程师,广州,天河区,东圃,朱立业,14-19K,3-5年,大专,互联网,,20-99人,"python,爬虫",
后端开发管培生（Java/Go/Python）,广州,海珠区,琶洲,探迹,13-18K·14薪,在校/应届,本科,互联网,C轮,1000-9999人,,"五险一金,餐补,零食下午茶,年终奖,股票期权,节日福利,通讯补贴,带薪年假,定期体检,全勤奖,定期团建,员工旅游,加班补助,补充医疗保险"
Python,北京,海淀区,上地,纬创软件,16-18K,3-5年,大专,计算机软件,已上市,1000-9999人,,"节日福利,零食下午茶,补充医疗保险,带薪年假,五险一金,员工旅游,定期体检,团建聚餐"
Python,广州,南沙区,南沙区府,芯筹科技,10-15K,1-3年,本科,计算机软件,天使轮,0-20人,"Docker,MySQL,架构设计经验,Python","零食下午茶,股票期权,团建聚餐,五险一金,有无线网"
python后端开发工程师,广州,天河区,棠下,云阁科技,15-30K·13薪,3-5年,本科,企业服务,天使轮,20-99人,"Django,PostgreSQL,Fast API,其他,架构设计经验,Ai智能体,Python,Flask","无考勤不打卡,生日福利,股票期权,年终奖,团建聚餐,绩效奖金,交通补助,定期体检,五险一金,零食下午茶,节日福利"
python/matlab工程师（线上兼职）,广州,天河区,五山,武汉震烨,8000-17000元/月,1-3年,本科,文化艺术/娱乐,不需要融资,20-99人,"Python,PyTorch,Tornado,TensorFlow,MySQL,爬虫经验,机器学习经验,计算机视觉,深度学习,强化学习,matlab","节日福利,零食下午茶,带薪年假,团建聚餐,底薪加提成,绩效奖金,全勤奖"
python工程师（智能体方向）,广州,天河区,高唐,旭普,10-15K,3-5年,本科,智能硬件,不需要融资,100-499人,"智能体,爬虫,爬虫经验,MySQL,机器学习经验,AI,Redis,大模型,架构设计经验,Python","带薪年假,加班补助,餐补,五险一金,零食下午茶,全勤奖,多次调薪,员工旅游"
C++/Python研发工程师[物联网&图像识别],泰安,岱岳区,高新区,泰安轻松表计有限公司,8-12K,3-5年,本科,仪器仪表,,500-999人,"Java,C++,C,QT,嵌入式软件经验,Redis,STL,编译器开发经验,Boost,MySQL,Linux开发/部署经验,图形开发经验,Python","免费工装,带薪年假,定期体检,五险一金,工龄奖"
Python开发（校招岗位）,广州,番禺区,新造,正沅配货网络科技...,200-250元/天,,本科,互联网,未融资,20-99人,Python,"绩效奖金,底薪加提成,通讯补贴,节日福利,保底工资,交通补助,股票期权,五险一金,工龄奖,意外险,员工旅游,生日福利,补充医疗保险,零食下午茶,年终奖,团建聚餐"
python/C++少儿编程老师(J10571),广州,越秀区,北京路,小码教育,15-25K,1-3年,本科,培训/辅导机构,D轮及以上,1000-9999人,"Scratch,python,C++,少儿编程,计算机专业","带薪年假,零食下午茶,年终奖,节日福利,股票期权,员工旅游,五险一金"
Python（爬虫方向）,广州,天河区,东圃,汉克时代,12-17K,1-3年,本科,互联网,不需要融资,1000-9999人,爬虫,"定期体检,带薪年假,生日福利,五险一金,团建聚餐,节日福利"
Python高级开发工程师,广州,番禺区,广州南站,玄道科技,12-24K,5-10年,本科,互联网,未融资,0-20人,"Java,全栈开发,Go,PHP,Python",股票期权
python,广州,天河区,石牌,五二赫兹,15-16K,经验不限,学历不限,互联网,天使轮,100-499人,"Python,Golang,Django,Selenium,TensorFlow,MySQL,爬虫经验,机器学习经验","定期体检,补充医疗保险,股票期权,员工旅游,工龄奖,法定节假日三薪,带薪年假,全勤奖,节日福利,节假日加班费,零食下午茶,五险,年终奖,加班补助"
Python（短期2个月，有五险一金）,北京,昌平区,北七家,橙溪,18-19K,3-5年,本科,互联网,不需要融资,20-99人,,五险一金
Python开发（金融行业假+周末双休+包三餐）,广州,天河区,体育中心,德科信息有限公司,15-18K,3-5年,本科,计算机软件,不需要融资,1000-9999人,"Django,MySQL,AI项目,Python,Flask","节日福利,五险一金,带薪年假,股票期权,团建聚餐,生日福利"
C++/python量化开发实习生（26届可转正）,北京,,,某大型证券公司,16-25K,1年以内,本科,证券/期货,,100-499人,,
Python脚本开发工程师,广州,增城区,新塘广场,文源视野,5-7K,1-3年,本科,互联网,天使轮,0-20人,Python,"保底工资,股票期权,绩效奖金,团建聚餐,年终奖,员工旅游,五险一金,免费班车,交通补助,底薪加提成,定期体检"
Python后端开发工程师,广州,,,共生代管理顾问,12-16K,3-5年,大专,培训/辅导机构,未融资,20-99人,,"年终奖,节日福利,全勤奖,补充医疗保险,定期体检,五险一金,员工旅游,带薪年假,零食下午茶"
Python实习生,广州,天河区,岗顶,掌信科技,140-160元/天,,本科,计算机软件,,100-499人,"Django,MySQL,Python",五险一金
"C/C++，Java,  PHP,   Python,   Android",西安,雁塔区,高新路,陕西无人智慧人工...,15-16K·14薪,1-3年,本科,计算机服务,,0-20人,,
python量化开发工程师,广州,,,北京某小型互联网公司,30-45K,3-5年,大专,互联网,不需要融资,20-99人,,"节假日加班费,节日福利,绩效奖金,餐补,年终奖,法定节假日三薪,团建聚餐,带薪年假,五险一金,生日福利"
Python,广州,海珠区,琶洲,华南虎科技有限公司,200-300元/天,,本科,互联网,未融资,20-99人,"爬虫经验,Django,MySQL,Linux开发/部署经验,Python","交通补助,团建聚餐,通讯补贴,有无线网,夜班补助,加班补助,节假日加班费"
Python,广州,,,抵奥云,14000-15000元/月,3-5年,大专,互联网,天使轮,20-99人,"Golang,爬虫经验,Django,Pandas,MySQL,Redis,MongoDB,架构设计经验,Linux开发/部署经验,Python,Flask","保底工资,节假日加班费,股票期权,节日福利,带薪年假,交通补助,绩效奖金,全勤奖,加班补助,底薪加提成,法定节假日三薪"
Python 工程师,济南,长清区,文昌,倍恩智能,4-6K,1-3年,本科,专用设备,不需要融资,20-99人,,"加班补助,五险,绩效奖金,工龄奖,团建聚餐,节假日加班费,全勤奖,夜班补助,节日福利,免费工装,餐补,包住"
Python工程师（物联网/AI模型/YOLO方向）,广州,番禺区,大石,能哥知识,10-15K,3-5年,本科,电子/硬件开发,未融资,100-499人,Python,"工龄奖,五险一金,节日福利,绩效奖金,零食下午茶,带薪年假,员工旅游,生日福利,餐补,团建聚餐"
python(AIGC),上海,青浦区,徐泾,法本,11-16K·13薪,3-5年,本科,计算机软件,已上市,10000人以上,,"带薪年假,企业文化,节日福利,五险一金,零食下午茶"
python 后端开发工程师,邯郸,,,游鲸科技,5-8K·13薪,1-3年,大专,游戏,不需要融资,0-20人,"Python,MySQL,Redis,架构设计经验,Linux开发/部署经验","定期体检,带薪年假,股票期权,生日福利,五险一金,员工旅游,节日福利,年终奖"
C++/Python,珠海,香洲区,金鼎,珠海市彩虹萝卜机...,2-3K,1年以内,大专,学前教育,未融资,0-20人,"提供实习证明,提供转正机会,C++,嵌入式软件经验,MySQL,Python","节日福利,零食下午茶,全勤奖,员工旅游"
Python,广州,白云区,嘉禾,沃芙科技,6-7K,1-3年,学历不限,服装/纺织,不需要融资,100-499人,"Python,TensorFlow,Oracle,架构设计经验","员工旅游,五险一金,全勤奖,节日福利,节假日加班费,法定节假日三薪,底薪加提成,零食下午茶,意外险,带薪年假,加班补助,高温补贴,绩效奖金,定期体检,团建聚餐"
Python后端开发——【可转正】校招实习岗,广州,天河区,龙口,嘉为科技,8-11K,在校/应届,本科,计算机服务,C轮,500-999人,,"生日福利,节日福利,带薪年假,股票期权,绩效奖金,年终奖,定期体检,五险一金"
Python,广州,荔湾区,芳村,佛山携贝商贸有限公司,50-100元/时,3-5年,本科,互联网,不需要融资,0-20人,"Nginx,PyTorch,PostgreSQL,MySQL,云计算经验,Linux开发/部署经验,Python,Flask",保底工资
Python Windows桌面应用高级开发工程师,成都,武侯区,新会展中心,奥里诺科,10-15K,3-5年,大专,电子商务,天使轮,20-99人,Python,"绩效奖金,工龄奖,底薪加提成,节日福利,股票期权,生日福利,五险一金,保底工资"
python工程师/实习生,广州,天河区,棠下,知习行,4-9K,经验不限,本科,计算机软件,,20-99人,"PyTorch,Docker,PostgreSQL,MySQL,Numpy,Python","加班补助,股票期权,节日福利,五险一金,年终奖,定期体检"
Python 双休不加班 券商,上海,虹口区,周家嘴路,北京人和创建,15-17K,3-5年,本科,人力资源服务,未融资,500-999人,"PostgreSQL,Pandas,MySQL,Redis,Python","定期体检,五险一金,带薪年假,零食下午茶,加班补助,员工旅游,节假日加班费,团建聚餐,节日福利,生日福利"
python开发（驻场）,广州,天河区,岑村,彩讯股份,7-12K,1-3年,本科,互联网,已上市,1000-9999人,"Python,Django,MySQL,Oracle","零食下午茶,结婚礼金,股票期权,定期体检,节日福利,生子礼金,带薪年假,加班调休,五险一金"
Python数据爬虫工程师,广州,,,要出发周边游,10-15K,1-3年,本科,互联网,D轮及以上,100-499人,"python,数据采集系统设计开发,数据库,Docker","零食下午茶,意外险,五险一金,带薪年假,员工旅游,节日福利"
python（RPA开发）,广州,天河区,石牌,CLPS华钦软件,17-21K,1-3年,大专,计算机软件,不需要融资,1000-9999人,"Python,Django,Flask,MySQL,Oracle,RPA","节日福利,带薪年假,年终奖,加班补助,补充医疗保险,五险一金,零食下午茶"
Python研发工程师,广州,黄埔区,科学城,广州宝顺,7-12K,经验不限,本科,计算机软件,未融资,0-20人,cs软件,"员工旅游,五险一金,定期体检,年终奖,带薪年假,通讯补贴"
Python后端开发工程师,广州,天河区,龙洞,华苏科技,12-15K,3-5年,大专,通信/网络设备,已上市,1000-9999人,"Java,爬虫经验,Django,MySQL,Tornado,MongoDB,Oracle,Python,Flask","定期体检,节日福利,带薪年假,五险一金"
Python,广州,白云区,三元里,广州趣界科技有限公司,12-18K,1-3年,本科,人工智能,不需要融资,20-99人,"Scrapy,分布式经验,PostgreSQL,Redis,PyTorch,微服务经验,Django,Pandas,MySQL,云计算经验,MongoDB,架构设计经验,Oracle,Linux开发/部署经验,Python,Flask","绩效奖金,五险,补充医疗保险,底薪加提成,有无线网,节日福利,员工旅游,保底工资,团建聚餐,生日福利,带薪年假"
python blend插件开发,南充,,,汉航科技,5-10K,3-5年,本科,电子/半导体/集成电路,未融资,0-20人,"架构设计经验,blender,Python","补充医疗保险,包吃,提供住宿,加班补助,包住,全勤奖,节日福利,定期体检,免费班车,节假日加班费,保底工资,员工旅游,宿舍有空调,餐补"
Python开发实习生,广州,海珠区,琶洲,广州火焰科技,120-200元/天,,本科,计算机软件,天使轮,20-99人,"python,算法基础,软件工程师",
Python,广州,天河区,龙洞,广州海之鑫,10-15K,3-5年,本科,广告营销,未融资,20-99人,"Golang,Scrapy,分布式经验,Docker,Django,MySQL,Kafka,Python","保底工资,零食下午茶,生日福利,五险一金,补充医疗保险,带薪年假,工龄奖,节日福利,股票期权,加班补助,夜班补助,绩效奖金,底薪加提成,年终奖,员工旅游,团建聚餐,企业年金,意外险,定期体检,节假日加班费"
Python/C++工程师（人工智能方向）,广州,番禺区,石基,浩洋电子,15-30K·13薪,经验不限,本科,电子/半导体/集成电路,已上市,1000-9999人,"C++,Python","五险一金,节日福利,年终奖,员工旅游,年度调薪,定期体检"
Python 软件工程师,潍坊,,,来因科技,6-9K,1-3年,大专,仪器仪表,不需要融资,20-99人,"机器学习经验,项目奖金,节日福利,Python,双休","生日福利,不加班,团建聚餐,五险一金,每周双休,底薪加提成,零食下午茶,员工旅游,带薪年假,加班补助,节日福利,免费工装"
python/java/c/c++/算法,东莞,大朗镇,松山湖,华为技术有限公司,15-30K·14薪,经验不限,本科,计算机软件,不需要融资,10000人以上,"C++,Java,Python","交通补助,员工旅游,带薪年假,节假日加班费,零食下午茶,免费班车,股票期权,年终奖,补充医疗保险,离职补偿,定期体检,夜班补助,节日福利,绩效奖金,法定节假日三薪,五险一金,保底工资,团建聚餐,加班补助,生日福利"
Python&C++助理开发工程师,广州,黄埔区,高唐,致远电子,7-8K·13薪,1年以内,本科,智能硬件,未融资,500-999人,"C++,自动化测试程序,Python","员工旅游,五险一金,通讯补贴,餐补,加班补助,定期体检,免费班车,交通补助,带薪年假,年终奖,节日福利"
